Unnamed: 0,powerPlay,AverageScore,battingTeam,bowlingTeam,city,delivery_left,score,CurrentRunRate,wicketsLeft,Run_In_Last5,Wickets_In_Last5,Final_Score,innings
83533,0.0,141.66666666666666,Pakistan,Australia,Perth,9,105,5.675675675675675,2,21.0,3.0,106,1.0
18304,0.0,162.46666666666667,Australia,New Zealand,Wellington,29,107,7.054945054945056,6,30.0,,142,1.0
55267,0.0,148.20689655172413,West Indies,Pakistan,Mirpur,58,61,5.903225806451613,7,27.0,1.0,166,1.0
148882,0.0,176.0,Ireland,Netherlands,Al Amarat,42,106,8.153846153846153,7,36.0,1.0,169,2.0
36435,0.0,146.41666666666666,Netherlands,Ireland,Abu Dhabi,54,53,4.818181818181818,4,23.0,4.0,106,1.0
152959,0.0,148.54545454545453,Pakistan,Bangladesh,Lahore,71,54,6.612244897959184,8,32.0,1.0,142,2.0
174308,0.0,161.0,Bangladesh,Pakistan,Nairobi,21,140,8.484848484848484,4,33.0,2.0,161,2.0
10006,1.0,138.1627906976744,Australia,Pakistan,Dubai,87,47,8.545454545454545,9,42.0,,108,1.0
143080,1.0,130.71428571428572,West Indies,South Africa,Nagpur,84,36,6.0,8,30.0,1.0,123,2.0
13889,0.0,170.24137931034485,Pakistan,Sri Lanka,Johannesburg,26,143,9.127659574468083,6,62.0,1.0,189,1.0
123609,0.0,147.11764705882354,Sri Lanka,Australia,Pallekele,79,66,9.658536585365852,7,49.0,1.0,178,2.0
109038,0.0,125.15789473684212,Bangladesh,West Indies,Dhaka,52,96,8.470588235294118,3,21.0,3.0,140,2.0
